GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WoodLot,it.unisa.WoodLot.sevice.gestioneOrdine.eccezioni,OrdineException,0,4,0,0,0,2,0,1,0,1
WoodLot,it.unisa.WoodLot.sevice.gestioneStatistiche,GestioneStatisticheService,0,276,0,12,0,52,0,11,0,5
WoodLot,it.unisa.WoodLot.sevice.gestioneOrdine.checkout,GestioneCheckoutService,0,142,0,8,0,33,0,6,0,2
WoodLot,it.unisa.WoodLot.web.controller.gestioneStatistiche,ControllerStatistiche,0,37,0,0,0,5,0,5,0,5
WoodLot,it.unisa.WoodLot.web.controller.gestioneContadino.pagamento,ControllerPagamento,0,27,0,0,0,5,0,3,0,3
WoodLot,it.unisa.WoodLot.web.controller.gestioneCatalogo.catalogo,ControllerCatalogo,3,72,1,1,1,16,1,4,0,4
WoodLot,it.unisa.WoodLot.sevice.gestioneContadino.eccezioni,ContadinoException,0,4,0,0,0,2,0,1,0,1
WoodLot,it.unisa.WoodLot.web.controller,ResponseHandler,41,85,11,7,9,23,9,3,1,2
WoodLot,it.unisa.WoodLot.web.controller,RootController,5,3,0,0,1,1,1,1,1,1
WoodLot,it.unisa.WoodLot.sevice.gestioneUtente.autenticazione,GestioneAutenticazioneService,40,134,9,25,11,35,8,13,1,3
WoodLot,it.unisa.WoodLot.web,WebConfig,0,47,0,0,0,7,0,2,0,2
WoodLot,it.unisa.WoodLot.sevice.gestioneContadino.contadino,GestioneContadinoService,33,77,2,4,9,16,2,8,0,7
WoodLot,it.unisa.WoodLot.web.controller.gestioneUtente.registrazione,ControllerRegistrazione,0,20,0,0,0,6,0,2,0,2
WoodLot,it.unisa.WoodLot.web.controller.gestioneUtente.autenticazione,ControllerAutenticazione,25,42,5,1,7,12,4,3,1,3
WoodLot,it.unisa.WoodLot.sevice.gestioneUtente.eccezioni,LoginException,0,4,0,0,0,2,0,1,0,1
WoodLot,it.unisa.WoodLot.sevice.gestioneUtente.eccezioni,RegistrazioneException,0,4,0,0,0,2,0,1,0,1
WoodLot,it.unisa.WoodLot.sevice.gestioneUtente.eccezioni,PasswordException,0,4,0,0,0,2,0,1,0,1
WoodLot,it.unisa.WoodLot.web.controller.gestioneCatalogo.filtri,ControllerFiltri,0,32,0,0,0,7,0,7,0,7
WoodLot,it.unisa.WoodLot.sevice.gestioneCatalogo.catalogo,GestioneCatalogoService,0,156,0,16,0,32,0,11,0,3
WoodLot,it.unisa.WoodLot.sevice.gestioneUtente.registrazione,GestioneRegistrazioneService,0,78,0,18,0,17,0,11,0,2
WoodLot,it.unisa.WoodLot.sevice.gestioneCatalogo.eccezioni,AlberoException,0,4,0,0,0,2,0,1,0,1
WoodLot,it.unisa.WoodLot.web.controller.gestioneCatalogo.prodotto,ControllerProdotto,0,24,0,0,0,6,0,6,0,6
WoodLot,it.unisa.WoodLot.web.controller.gestioneOrdine.checkout,ControllerCheckout,0,20,0,0,0,6,0,2,0,2
WoodLot,it.unisa.WoodLot.sevice.gestioneContadino.pagamento,GestionePagamentoService,0,51,0,2,0,11,0,4,0,3
WoodLot,it.unisa.WoodLot.sevice.gestioneOrdine.ordini,GestioneOrdineService,0,12,0,0,0,3,0,3,0,3
WoodLot,it.unisa.WoodLot.sevice.gestioneCarrello.eccezzioni,CarrelloException,0,4,0,0,0,2,0,1,0,1
WoodLot,it.unisa.WoodLot.sevice.gestioneCatalogo.prodotto,GestioneProdottoService,0,36,0,2,0,9,0,7,0,6
WoodLot,it.unisa.WoodLot.web.controller.gestioneContadino,ControllerContadino,23,132,2,2,3,21,3,9,1,9
WoodLot,it.unisa.WoodLot.sevice.gestioneCatalogo.filtri,GestioneFiltriService,0,75,0,8,0,16,0,11,0,7
WoodLot,it.unisa.WoodLot.web.controller.gestioneCarrello,ControllerCarrello,0,73,0,0,0,20,0,5,0,5
WoodLot,it.unisa.WoodLot,ServletInitializer,12,0,0,0,2,0,2,0,2,0
WoodLot,it.unisa.WoodLot,WoodLotApplication,5,3,0,0,2,1,1,1,1,1
WoodLot,it.unisa.WoodLot.web.controller.gestioneOrdine.ordini,ControllerOrdini,0,20,0,0,0,3,0,3,0,3
WoodLot,it.unisa.WoodLot.sevice.gestioneCarrello,GestioneCarrelloService,0,185,0,14,0,37,0,14,0,7
